Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs
1731,T26923,52712-76-2,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,C19H27N5O3,373.46,2.07,93.81,1,7,5,2,3,0.526,27,0,0,none,0.9553,1.0,0.9732,T26923
1732,T6055,875320-29-9,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,C21H26N6O2,394.48,2.09,95.31,3,6,6,3,4,0.381,29,0,0,none,0.9554,1.0,0.9732,T6055;T6865
1733,T86161,208255-51-0,COC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)Cc1cc(F)cc(F)c1)c1ccccc1,C20H20F2N2O4,390.39,2.04,84.5,2,4,7,2,2,0.25,28,2,0,none,0.9553,1.0,0.9732,T86161
1734,T2075,597544-21-3,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1,C23H23N5O2,401.47,3.17,64.78,0,6,6,4,5,0.261,30,0,0,none,0.9705,0.9773,0.9732,T2075
1735,T8358,13392-18-2,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,C17H21NO4,303.36,2.06,92.95,5,5,6,2,2,0.294,22,0,0,none,0.9553,1.0,0.9732,T22331;T8358
1736,T62385,2436760-81-3,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,C20H22ClF2N3O,393.87,3.92,45.23,1,3,5,2,3,0.4,27,3,0,none,0.9554,1.0,0.9732,T62385
1737,T22875,688353-45-9,Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3C)SC(C)C4)sc2c1,C18H18N4O2S3,418.57,3.47,76.88,1,7,4,3,4,0.333,27,0,0,none,1.0,0.9327,0.9731,T22875
1738,T17208,1373268-67-7,CC(C)N1CCC(N2CCCN(c3cccc(C(=O)Nc4ccncc4)n3)CC2)CC1,C24H34N6O,422.58,3.11,64.6,1,6,5,2,4,0.542,31,0,0,none,1.0,0.9329,0.9731,T17208
1739,TN11093,53777-78-9,C1=C2c3cc4c(cc3CCN2Cc2c1ccc1c2OCO1)OCO4,C19H15NO4,321.33,3.01,40.16,0,5,0,2,6,0.263,24,0,0,none,0.9552,1.0,0.9731,TN11093
1740,T20563,199850-67-4,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,C17H18BrNO4S,412.31,3.5,83.47,2,3,6,2,2,0.235,24,1,0,none,1.0,0.9327,0.9731,T20563
