Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
229,T5720,476-70-0,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,C19H21NO4,327.38,2.87,62.16,2,5,2,2,4,0.368,24,0,0,none,1.0,1.0,1.0,T5720,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.237,无明确优势骨架命中,,,0.0,0.2373,c1ccc2c(c1)CC1NCCc3cccc-2c31,0.6186
230,TN6930,21763-80-4,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1OC,C19H18O7,358.35,3.2,87.36,1,7,5,3,3,0.211,26,0,0,none,1.0,1.0,1.0,TN6930,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.203,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.4734,O=c1cc(-c2ccccc2)oc2ccccc12,0.7367
231,T7300,1196541-47-5,N[C@@H]1CCCN(c2c(Br)cnc3[nH]cc(NC(=O)C4CC4)c23)C1,C16H20BrN5O,378.27,2.6,87.04,3,4,3,2,4,0.5,23,1,0,none,1.0,1.0,1.0,T27407;T7300,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.192,无明确优势骨架命中,,,0.0,0.1923,O=C(Nc1c[nH]c2nccc(N3CCCCC3)c12)C1CC1,0.5962
232,T16887,130800-90-7,CN1CCN(c2ncc(-c3cc(Cl)cc(Cl)c3Cl)c(N)n2)CC1,C15H16Cl3N5,372.69,3.44,58.28,1,5,2,2,3,0.333,23,3,0,none,1.0,1.0,1.0,T16887,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.188,无明确优势骨架命中,,,0.0,0.1884,c1ccc(-c2cnc(N3CCNCC3)nc2)cc1,0.5942
233,T11235,172377-52-5,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C18H25NO4S,351.47,2.49,89.62,2,4,2,1,4,0.667,24,0,0,none,1.0,1.0,1.0,T11235,Chenodeoxycholic acid,FXR,内源性 FXR 配体，调控胆汁酸稳态并抑制肝脏脂肪生成,0.175,无明确优势骨架命中,,,0.0,0.175,c1ccc2c(c1)CCC1C2CCC2CCCC21,0.5875
234,T7198,113559-13-0,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,C21H27N3O3S,401.53,2.9,79.37,1,5,7,2,3,0.429,28,0,0,none,1.0,1.0,1.0,T7198,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.205,无明确优势骨架命中,,,0.0,0.2048,O=C(c1ccccc1)C1CCN(CCc2ccccn2)CC1,0.6024
235,T69685,2316782-88-2,CC(CC(=O)NCc1ccc2[nH]c(=O)[nH]c2c1)c1c(F)cccc1F,C18H17F2N3O2,345.35,2.94,77.75,3,2,5,3,3,0.222,25,2,0,none,1.0,1.0,1.0,T69685,Fluvastatin,HMGCR,全合成 HMGCR 抑制剂,0.185,无明确优势骨架命中,,,0.0,0.1852,O=C(CCc1ccccc1)NCc1ccc2[nH]c(=O)[nH]c2c1,0.5926
236,T4399,1378872-36-6,O=C(COc1c(Cl)cc(Cl)cc1Cl)N/N=C/c1ccc[nH]1,C13H10Cl3N3O2,346.6,3.5,66.48,2,3,5,2,2,0.077,21,3,0,none,1.0,1.0,1.0,T4399,VK2809 active acid (MB07344),THR-beta,肝靶向 THR-beta 激动剂活性代谢物；促进脂肪酸氧化与 LDL-C 清除,0.188,无明确优势骨架命中,,,0.0,0.1884,O=C(COc1ccccc1)NN=Cc1ccc[nH]1,0.5942
237,T61028,1933460-19-5,C[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C15H15ClN4OS,334.83,3.11,79.6,3,3,3,3,3,0.2,22,1,0,none,1.0,1.0,1.0,T61028,Resmetirom (MGL-3196),THR-beta,肝脏选择性甲状腺激素受体 beta 激动；上调 CPT1A/线粒体 beta-氧化与脂噬，降低肝内甘油三酯,0.176,无明确优势骨架命中,,,0.0,0.1765,O=c1[nH]c(=S)n(Cc2ccccc2)c2cc[nH]c12,0.5882
238,T33452,460331-61-7,Cc1nc(N2CCN(C(=O)c3ccco3)CC2)c2c3c(sc2n1)CCCC3,C20H22N4O2S,382.49,3.43,62.47,0,6,2,3,5,0.45,27,0,0,none,1.0,1.0,1.0,T33452,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.188,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.435,O=C(c1ccco1)N1CCN(c2ncnc3sc4c(c23)CCCC4)CC1,0.7175
